"Rule","Section","Conditions","Match Type","Actions","Comments"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop60","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop59","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop53","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop54","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop51","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop52","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop49","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop6","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop19","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop55","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"3","Global - Clear Collision List Vars","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of mvvar1",""
"3","Global - Clear Collision List Vars","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of mvvar3",""
"3","Global - Clear Collision List Vars","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of mvvar2",""
